Datum;Auftrag #;Transaktionen;Symbol;Name;ISIN;Anzahl;Stückpreis;Kosten;Aufgelaufene Zinsen;Nettobetrag;Währung Nettobetrag;Nettobetrag in der Währung des Kontos;Saldo;Währung
22-04-2009 16:03:19;18283578;Verkauf;MXWL;MAXWELL TECHNOLOGIES ORD;US5777671067;790.0;9.00;46.70;0.00;7'063.30;USD;7'063.30;7'189.84;USD
20-04-2009 14:13:28;18237201;Fx-Gutschrift Comp.;;;;1.0;11.57;0.00;0.00;11.57;CHF;11.57;0.00;CHF
20-04-2009 14:13:28;18237201;Fx-Belastung Comp.;;;;1.0;9.95;0.00;0.00;-9.95;USD;-9.95;126.54;USD
20-04-2009 13:35:30;18230100;Verkauf;EMQ;EMQTEC ORD;DE000A0JL529;600.0;0.064;26.51;0.00;11.89;EUR;11.89;12.13;EUR
17-04-2009 18:36:01;00000000;Depotgebühren;;;;1.0;11.57;0.00;0.00;-11.57;CHF;-11.57;-11.57;CHF
16-03-2009 12:50:17;00000000;Dividende;WYN;WYNDHAM DESTINATIONS ORD;US98310W1080;1.0;5.60;0.00;0.00;5.60;USD;5.60;136.49;USD
10-03-2009 14:01:23;17694509;Fx-Gutschrift Comp.;;;;1.0;457.13;0.00;0.00;457.13;CHF;457.13;0.00;CHF
10-03-2009 14:01:23;17694509;Fx-Belastung Comp.;;;;1.0;401.64;0.00;0.00;-401.64;USD;-401.64;130.89;USD
09-03-2009 09:01:21;17671722;Kauf;STLN;Swiss Steel Holding AG;CH0005795668;500.0;12.00;41.85;0.00;-6'041.85;CHF;-6'041.85;-457.13;CHF
27-02-2009 17:03:27;00000000;Dividende;NOVN;NOVARTIS N;CH0012005267;1.0;234.00;0.00;0.00;234.00;CHF;234.00;5'584.72;CHF
